,SITE_ID,SITE_NAME,Biome,koeppen_climate,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,GrowSeas_length_days,MeanPrec_Annual_mmday,MeanPrec_GrowSeas_mmday,MeanAnnualTemp_degC,AridityIndex_annual,AridityIndex_GrowSeas,RainFreq_annual_perday,RainFreq_GrowSeas_perday,Dmax_annual_days,Dmean_annual_days,Dmax_GrowSeas_days,Dmean_GrowSeas_days,GPP_model_R2,N_drydowns_used,Total_drydown_days_used,Tau_days,Tau_95ci_low_days,Tau_95ci_high_days,ET_norm_predict_R2,g_norm_predict_R2,soil_mois_model_cor,a_slope_relative_standard_error,Water_limited_fraction_of_drydowns,N_years_of_data
10,AU-TTE,Ti Tree East,Grassland,BWh - Arid desert hot,-22.287,133.64,,61,0.7622235401459854,0.6629032258064516,24.30718613138686,5.128092199476046,7.528128282195819,0.13686131386861314,0.1774193548387097,76.0,39.416058394160586,12.5,8.67741935483871,0.9133889302873561,10,72,14.31200378718494,12.152843569051878,17.404147908022864,-1.7008073284616425,-1.232020104834144,0.9735641532971793,0.08883353948665665,0.9090909090909091,2
11,BE-Vie,Vielsalm,Mixed forest,Cfb - Warm temperate fully humid with warm summer,50.30493,5.99812,493.0,159,2.6061201729106624,2.6307901315789475,8.250181123919308,0.9310136746609932,1.5526233699481014,0.5789625360230548,0.5348684210526315,16.31578947368421,4.1671469740634,12.785714285714286,4.383928571428571,0.09046686149184036,38,203,23.645640573488286,18.24295957070124,33.59479023168514,0.4345819897331846,0.7465972765076507,,0.14807578183377446,0.5671641791044776,13
12,CA-NS1,UCI-1850 burn site,Evergreen needleleaf forest,Dfc - Snow fully humid cool summer,55.87917,-98.48389,260.0,65,0.7778636363636363,1.513193939393939,0.9334151150054766,3.713195584775327,3.321856505787503,0.511500547645126,0.6212121212121212,27.6,8.74370208105148,6.25,2.893939393939394,0.026726107131108456,6,25,14.811206862353115,8.616686463299555,52.689833104278094,0.8988890853792507,0.7369751304423443,0.027699987901763604,0.35944910061642865,0.75,3
13,CA-NS2,UCI-1930 burn site,Evergreen needleleaf forest,Dfc - Snow fully humid cool summer,55.90583,-98.52472,260.0,66,0.8792541073384447,1.7368776119402982,-2.7510870755750276,2.9489965059164014,2.6050229667850315,0.5191675794085433,0.5701492537313433,23.4,6.0591456736035045,6.4,2.8626865671641792,0.4680744022744353,10,37,13.104327888677178,8.295240405924712,31.181520888568905,0.8667934491541676,0.7731387988714216,0.8220903954494755,0.28987028991454356,0.7142857142857143,4
14,CA-NS6,UCI-1989 burn site,Shrubland,Dfc - Snow fully humid cool summer,55.91667,-98.96444,244.0,62,0.6975175246440306,1.4721079365079366,-0.3997305585980288,3.143082636360005,3.152937972888492,0.3307776560788609,0.4888888888888889,55.6,19.615553121577218,7.5,3.9682539682539684,0.6043812534000785,11,41,11.635822337360263,8.26128684142973,19.670914103985137,0.9268940503579938,0.8776355929703852,0.37921756481821145,0.20423788452711106,0.6875,4
15,CA-NS7,UCI-1998 burn site,Shrubland,Dfc - Snow fully humid cool summer,56.63583,-99.94833,297.0,66,0.8271389459274469,1.8637238805970149,-1.676140999315537,2.6485298904276973,2.4813328788853077,0.3394934976043806,0.44776119402985076,50.0,13.903490759753593,9.75,4.388059701492537,0.25387974086768916,11,59,13.094977343083105,9.43033248181826,21.41808545904152,0.7026979428088402,0.7692817797228966,0.3786677706767316,0.19430093627824385,0.8461538461538461,4
16,CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",Deciduous broadleaf forest,Dfc - Snow fully humid cool summer,53.62889,-106.19779,530.0,72,1.3020675305712721,2.593399086757991,1.8003110056579668,1.6471223517181366,1.8025823583070757,0.35900711808724217,0.4812785388127854,21.266666666666666,6.681328709618543,8.7,3.835616438356164,0.5984442002654683,17,92,13.307502378974693,9.532441061952122,22.033110152423358,0.6235580898287485,0.7336594096562878,0.7578575890127546,0.19801125926130228,0.6538461538461539,8
17,CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",Evergreen needleleaf forest,Dfc - Snow fully humid cool summer,53.98717,-105.11779,628.94,75,1.3242867201251711,2.5533890977443603,1.4516010170154507,1.924556489238325,1.998578441577077,0.34754547232544497,0.4473684210526316,21.5,6.657735184823,9.0,4.181578947368421,0.3386818228006174,27,137,19.664849213027658,14.280048262672572,31.569104936673522,0.7257277579726933,0.752694787550704,0.6219499206408776,0.18854281341719012,0.8181818181818182,10
18,CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",Evergreen needleleaf forest,Dfc - Snow fully humid cool summer,49.6925,-74.34206,382.0,104,2.5896125941136208,3.450690476190476,0.9923815879534565,1.0166080885937345,1.3134790444665467,0.5530458590006845,0.5607142857142857,12.0,3.323066392881588,6.875,2.90952380952381,0.24924573622462964,15,66,21.604326190130013,13.219723210087974,59.068482020199916,0.6260823048822782,0.788470867037495,0.4661676172785271,0.3171247554428275,0.6818181818181818,5
19,CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",Evergreen needleleaf forest,Dfc - Snow fully humid cool summer,54.48503,-105.81757,536.0,74,1.226104038329911,2.3140666666666667,-0.06123545516769315,1.9059648826821118,2.06483833900889,0.38466803559206025,0.5166666666666667,65.25,18.0362765229295,9.75,3.886666666666667,0.0072819438916202905,7,35,9.992535797589296,5.606850230727298,45.87968625371587,0.45250532949113365,0.8360407255640824,-0.37662931966272944,0.39110065245073483,0.5833333333333334,4
20,CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",Shrubland,Dfc - Snow fully humid cool summer,54.09156,-106.00526,540.0,75,0.9679151072569604,1.8795087719298247,1.174203103605659,2.402211088291644,2.416766083213754,0.4249201277955272,0.5219298245614035,46.5,12.310816978548608,8.333333333333334,3.535087719298246,0.25491480872883554,8,43,7.900244267999766,5.05346354944146,18.092131719737225,0.8206936419583872,0.6057987687538107,0.16522425626700296,0.28166629586879577,0.5333333333333333,4
21,CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,Evergreen needleleaf forest,Dfb - Snow fully humid warm summer,42.66093611,-80.55951944,265.0,84,3.033043386689132,2.8058425339366515,8.774777590564447,0.812861972254607,1.6588857085819342,0.5871946082561078,0.4995475113122172,12.23076923076923,3.177759056444819,9.083333333333334,3.619607843137255,0.5188251933649665,27,124,12.70274691879017,10.674990570762192,15.6815115779282,-0.18010504972690877,0.027078738311732686,0.5688874512287763,0.0949769620210164,0.8181818181818182,9
22,CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,Evergreen needleleaf forest,Dfb - Snow fully humid warm summer,42.70681111,-80.34831389,184.0,97,3.033043386689132,2.796463108320251,8.900855728727885,0.9666905790166622,1.8667161614023398,0.5871946082561078,0.5047095761381476,12.23076923076923,3.177759056444819,9.923076923076923,3.7111459968602825,0.6227797460398955,28,136,11.524499358394033,9.24964465270944,15.283259377724026,-0.015116418812720855,0.34128899828159864,0.18281442243866391,0.12296984322626034,0.7567567567567568,8
23,CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,Evergreen needleleaf forest,Dfb - Snow fully humid warm summer,42.710161,-80.357376,184.0,96,3.033043386689132,2.7948572561459164,8.541092038753158,1.114860193314963,2.0279741669195808,0.5871946082561078,0.5051546391752577,12.23076923076923,3.177759056444819,9.923076923076923,3.7121332275971457,0.30695772159276447,31,146,4.988285106091505,4.247911682692726,6.041215522773413,0.3722922059842624,0.5121594806062362,0.5520894102285331,0.08714557630932908,0.6458333333333334,11
24,CH-Cha,Chamau,Grassland,Cfb - Warm temperate fully humid with warm summer,47.21022,8.41044,393.0,179,3.11005421686747,4.12369,9.483061062431545,0.7610786410735537,0.9736043104368743,0.5002738225629791,0.5283333333333333,16.5,4.478094194961665,13.0,3.9800000000000004,0.15402655831028644,42,210,24.812752069006898,19.608567567865325,33.777394230357345,0.6669967156009163,0.7575428122292003,0.5839657714372672,0.13270180198349196,0.7636363636363637,9
25,CH-Oe1,Oensingen grassland,Grassland,Cfb - Warm temperate fully humid with warm summer,47.28583,7.73194,450.0,152,3.345414157215487,3.482403361344538,9.271993742667188,0.6569856361605081,1.1041036086321638,0.5580758701603441,0.5480859010270775,14.142857142857142,3.8439577630035195,11.428571428571429,3.6330532212885154,0.36541059084149186,23,124,24.73820736574824,20.582198701358458,30.997248806406876,0.5966479418134584,0.8182147828157383,0.8463465349728201,0.1009612414274157,0.5897435897435898,7
26,CN-Cha,Changbaishan,Mixed forest,Dwb - Snow dry winter warm summer,42.4025,128.0958,,85,1.2759379562043796,3.624806201550388,4.354455291970803,2.036984465395604,1.2065928845193694,0.36496350364963503,0.6085271317829457,48.666666666666664,12.531021897810218,10.333333333333334,3.2325581395348837,0.16734035570818973,4,19,7.868928711410136,4.157488803356792,73.34393909852479,0.6112461729629639,0.6966484356903282,0.7638182270068647,0.4463559715490628,0.4444444444444444,2
27,CN-Cng,Changling,Grassland,,44.5934,123.5092,,50,0.7918158795345654,2.3666666666666667,6.207984941820669,3.052547886511458,1.8919123493588441,0.2032854209445585,0.30392156862745096,99.0,38.115674195756334,11.5,6.245098039215686,0.741982269127407,8,54,15.475627400265854,11.824064374069149,22.39030705788607,0.37406494246443145,0.6092814003866774,0.6779760180476061,0.1544123454793087,0.6666666666666666,3
28,CN-Dan,Dangxiong,Grassland,ET - Polar tundra,30.4978,91.0664,,79,1.4231190150478799,3.7362499999999996,2.173500683994528,1.5858715692285115,1.1117902971432605,0.35567715458276333,0.71875,63.5,21.15595075239398,6.5,2.3125,0.7232232048627056,5,19,11.638699869900123,7.973793304827537,21.5379499867719,0.8487372923882001,0.4848527796265931,0.979606155682621,0.22980947868649668,0.8333333333333334,2
29,CN-Du2,Duolun_grassland (D01),Grassland,Dwb - Snow dry winter warm summer,42.0467,116.2836,,59,0.9075337591240875,2.9194944444444446,3.1630437956204376,2.731597605295524,1.5197548878479927,0.21806569343065693,0.37222222222222223,63.333333333333336,22.675182481751825,11.333333333333334,5.4444444444444455,0.6465098338927717,12,66,14.647008098266888,11.53639354343555,20.054365285872038,0.8373330490770801,0.8358179836043199,0.8683892207815284,0.13481746020190785,1.0,3
30,CN-Qia,Qianyanzhou,Evergreen needleleaf forest,Cfa - Warm temperate fully humid with hot summer,26.7414,115.0581,,131,3.2022618613138687,3.459313131313131,18.24311587591241,0.9668014556979856,1.4041427039898329,0.46441605839416056,0.43686868686868685,23.666666666666668,6.518248175182482,13.333333333333334,5.343434343434343,0.33592633904222946,16,104,29.08177416501301,19.387160697079338,58.16974792734374,0.6682083116441142,0.754646907193033,0.16304568974122602,0.2500266444223098,0.64,3
31,CZ-BK2,Bily Kriz grassland,Grassland,Dfb - Snow fully humid warm summer,49.49443,18.54285,855.0,135,3.347771897810219,4.55924183006536,6.057310523114355,0.7427642474435191,0.7667452527556786,0.6371654501216545,0.6102941176470589,11.222222222222221,3.0498783454987834,8.142857142857142,2.9411764705882355,0.20767411877958353,17,71,21.244583986241473,14.322998844248986,41.11189620284543,0.8454705360999955,0.8938481422370779,0.4568761338619669,0.24162485863676733,0.6071428571428571,7
32,DE-Gri,Grillenburg,Grassland,Cfb - Warm temperate fully humid with warm summer,50.94947,13.51253,385.0,143,2.5818170731707313,3.394196338383838,8.582384270781484,0.7921630605656123,1.1755501423663604,0.5609756097560976,0.5511363636363636,16.636363636363637,3.8506719761075163,12.181818181818182,3.816919191919193,0.2598058137573319,27,154,34.679920372976376,28.233386218790756,44.94139782212257,0.8820054088526492,0.8622002294595419,0.6086430479217672,0.11416508994403089,0.5192307692307693,10
33,DE-Hai,Hainich,Deciduous broadleaf forest,Cfb - Warm temperate fully humid with warm summer,51.07921,10.45217,430.0,133,2.084480522215203,2.3853404133180254,8.333914297746896,0.9895595022817504,1.6855477536234424,0.527479469361971,0.5195177956371986,15.23076923076923,4.123183828174352,11.333333333333334,4.097844112769486,0.4149815392991447,28,152,20.624666813663723,15.574656297426914,30.520941374184325,-0.27101775324202015,0.7623379023470382,0.3928624750931667,0.16212269535190707,0.6511627906976745,9
34,DE-Lkb,Lackenberg,Evergreen needleleaf forest,Cfb - Warm temperate fully humid with warm summer,49.09962,13.30467,1308.0,120,3.048105147864184,5.390350413223141,4.558645125958378,0.5835816551911772,0.7114571324362989,0.5920043811610076,0.6677685950413224,13.6,3.335158817086528,7.8,2.378512396694215,0.06137460839910713,7,26,8.780919282605518,5.454424131976609,22.507733319957243,0.8729650361591461,0.8310049710165699,0.33411777066517995,0.304935504660089,1.0,4
35,DE-Lnf,Leinefelde,Deciduous broadleaf forest,Cfb - Warm temperate fully humid with warm summer,51.32822,10.3678,451.0,73,1.7041836734693878,2.251007371007371,8.16504380288701,1.2415118253189932,1.989038488905397,0.5647088103534097,0.6081081081081081,13.818181818181818,3.8118466898954706,7.75,3.1891891891891895,0.30945926771722887,12,56,8.948549148348285,5.937739267320378,18.153547506999733,0.7404962749001236,0.8405598974729575,0.2126005845245297,0.25353166798671556,0.75,6
36,DK-Sor,Soroe,Deciduous broadleaf forest,Cfb - Warm temperate fully humid with warm summer,55.48587,11.64464,40.0,58,2.3240095100864555,2.305650312221231,8.340763688760806,0.7792876489127771,1.9326529548087996,0.5161383285302593,0.4504906333630687,16.210526315789473,4.522478386167147,11.071428571428571,4.922518159806295,0.1627053093558315,18,85,16.559385974055285,11.27752253961186,31.147342650544946,0.5751487017385619,0.8353769214093043,,0.23417658514496795,0.5294117647058824,11
37,ES-LJu,Llano de los Juanes,Shrubland,"Csa - Warm temperate with dry, hot summer",36.92659,-2.75212,1600.0,100,1.628808650424309,0.9098316831683169,11.676985765124554,1.9395780149249628,5.629061322956035,0.24801532986586367,0.17425742574257425,47.4,17.148918696961402,36.9,21.51881188118812,0.5933988844143354,36,522,50.30370675750943,45.336146055090225,56.49383491512369,0.582792878420665,0.7312334469577806,0.8480074150437156,0.054785873245410746,0.75,10
38,ES-LgS,Laguna Seca,Shrubland,"Csa - Warm temperate with dry, hot summer",37.09794,-2.96583,2267.0,132,1.4118284671532848,0.6222380952380953,6.190618613138686,2.4030513764243064,9.259331636199814,0.31113138686131386,0.15037593984962405,39.333333333333336,13.288321167883211,37.333333333333336,20.57894736842105,0.6028194483088898,12,157,20.169597651647628,15.785187310547546,27.92624377819646,0.6407145818979444,0.7010795928189599,0.6841817165909774,0.13887736188503924,0.9230769230769231,3
39,FI-Hyy,Hyytiala,Evergreen needleleaf forest,Dfc - Snow fully humid cool summer,61.84741,24.29477,181.0,84,1.6536396253602306,2.7321795665634676,4.360567291066283,1.1554093412051731,1.606598738939374,0.5268011527377522,0.5343653250773994,19.57894736842105,5.676080691642651,8.214285714285714,3.346218487394958,0.08971641747004089,34,150,20.01255185620653,14.616827375694212,31.72288815713616,0.6869053264881639,0.7830285006363583,0.4099546934836349,0.1845723542403145,0.6666666666666666,13
40,FI-Sod,Sodankyla,Evergreen needleleaf forest,Dfc - Snow fully humid cool summer,67.36239,26.63859,180.0,64,1.4486420887932723,2.3122395604395605,0.7052403676902014,0.9544611782557958,1.5469244940038847,0.6534324271464893,0.6351648351648351,11.285714285714286,2.8857813416780753,7.285714285714286,2.8373626373626375,0.2841048282454318,14,69,16.11372084995169,11.574835346746962,26.508669022537322,0.6741638915465951,0.8690307054124213,0.2379454036115331,0.19606695763842358,0.7777777777777778,10
41,FR-LBr,Le Bray,Evergreen needleleaf forest,Cfb - Warm temperate fully humid with warm summer,44.71711,-0.7693,61.0,94,2.5189180880185305,1.6947538461538463,13.370095388502843,1.2171362847733531,3.285045604793748,0.5500105285323226,0.4340080971659919,16.23076923076923,4.215413771320278,11.375,5.268421052631579,0.7386284689283092,24,146,24.22011027301687,18.853427125656978,33.857844765386915,0.7301021193035337,0.7479716461996109,0.7794835470521598,0.14232646169821714,0.6666666666666666,8
42,IT-Col,Collelongo,Deciduous broadleaf forest,Cfa - Warm temperate fully humid with hot summer,41.84936,13.58814,1560.0,117,3.2267548991354467,1.923186440677966,7.235493948126801,1.0685676411263902,2.906268490527672,0.5629682997118156,0.4232827832292596,18.57894736842105,4.459365994236311,17.0,7.007822685788789,0.5418984843318093,27,208,17.339594497486875,13.458291819660289,24.36687766120538,0.7411631730897404,0.7896216714351485,0.2802052169556787,0.1441974483030847,0.45,12
43,IT-Cpz,Castelporziano,Evergreen broadleaf forest,"Csa - Warm temperate with dry, hot summer",41.70525,12.37611,68.0,197,2.2338675231676497,1.6052051282051285,15.121161331086775,1.870872476044125,3.43804773632944,0.4696714406065712,0.40714840714840717,18.923076923076923,5.556444818871103,16.0,5.040404040404041,0.22862627192730678,31,217,18.03026575687506,14.052674870292671,25.148521135506062,0.7360245691110876,0.7812523321435736,0.6197180002710836,0.14152433338477818,0.5344827586206896,8
44,IT-Isp,Ispra ABC-IS,Deciduous broadleaf forest,Cfb - Warm temperate fully humid with warm summer,45.81264,8.63358,210.0,141,5.482364383561643,4.85806338028169,13.366939726027397,0.5671354830834473,1.1368739530501877,0.6904109589041096,0.6795774647887324,8.5,2.1315068493150684,5.5,2.091549295774648,0.0529608206182528,4,14,8.475506723269287,5.034233389792447,26.78515306929897,0.8517717424742801,0.6735128838262987,-0.15389876730076485,0.34178722627902625,1.0,2
45,IT-MBo,Monte Bondone,Grassland,Dfb - Snow fully humid warm summer,46.01468,11.04583,1550.0,102,2.666605276256844,3.06427360988526,5.206991538078647,0.6968099784753946,1.4519975302293786,0.420358387257342,0.48278905560458957,23.0,6.4863115978098556,10.181818181818182,4.000882612533098,0.2596401437039577,20,91,23.28959523878835,18.073446392997766,32.73808119609776,0.7318422635472809,0.8774176285396562,0.4237845550395821,0.14430421106102623,0.7407407407407407,11
46,IT-Noe,Arca di Noe - Le Prigionette,Shrubland, -,40.60618,8.15169,25.0,239,1.562369586859134,1.055032196969697,16.42364111498258,2.447570279523848,4.878244626086835,0.3198108511697362,0.23522727272727273,46.36363636363637,14.037829766052763,46.36363636363637,19.00757575757576,0.6910114716518571,80,1023,60.92454003416454,56.248217352441934,66.44892129365388,0.5898169200186668,0.7830642799020503,0.686063842373483,0.04156863009916868,0.8,11
47,IT-SR2,San Rossore 2,Evergreen needleleaf forest,"Csa - Warm temperate with dry, hot summer",43.73202,10.29091,4.0,169,3.640164383561644,2.0425823529411766,15.466365753424657,0.9505739475853766,2.8619603401955045,0.40136986301369865,0.2735294117647059,17.0,5.904109589041096,17.0,7.711764705882353,0.3933139891152423,13,106,24.347231706666083,17.16074627669374,41.889486577374676,0.9029422250556097,0.7101456878774601,-0.27547067524312235,0.20938732250043265,0.8125,2
48,IT-SRo,San Rossore,Evergreen needleleaf forest,"Csa - Warm temperate with dry, hot summer",43.72786,10.28444,6.0,163,2.4033116933906924,1.573435975609756,15.213628079780994,1.5348320160251143,4.0138259344394704,0.4084865076261244,0.28702090592334495,23.5,7.177942901838091,21.5,9.447154471544714,0.38379474231191135,56,494,16.6288627879895,14.504478888052066,19.48232137736124,0.6897256632061284,0.6856029410447078,0.6267000909675213,0.07323199669335864,0.6511627906976745,11
49,IT-Tor,Torgnon,Grassland,Dfc - Snow fully humid cool summer,45.84444,7.57806,2160.0,91,2.102049667579194,2.4585714285714286,2.941263590144701,0.8938586542710627,1.9130413612554678,0.6229956980836918,0.5590062111801242,15.428571428571429,3.5803676183026987,8.428571428571429,3.4720496894409933,0.5655826614413744,11,47,19.83241746629677,12.739357545331071,44.746535499857025,0.7538435362271125,0.8970850647997877,0.895187073349069,0.2783915866921123,0.5789473684210527,5
50,NL-Loo,Loobos,Evergreen needleleaf forest,Cfb - Warm temperate fully humid with warm summer,52.16658,5.74356,25.0,132,2.268678386167147,2.3906917293233083,9.989276224783863,1.1941392344535489,1.9848852794094916,0.5697406340057637,0.5227542540561931,18.42105263157895,4.338904899135446,13.0,4.516648764769066,0.004112662035027914,47,236,12.102227593633081,10.11532878045673,15.060474357076005,0.10672854322566372,0.7337246154256356,0.08101270477909833,0.09821227052031807,0.734375,13
51,RU-Ha1,Hakasia steppe,Grassland,Dfc - Snow fully humid cool summer,54.72517,90.00215,446.0,66,1.050206204379562,2.8361890547263684,2.0393083941605834,2.3025365654143353,1.4953662920599977,0.48175182481751827,0.5771144278606966,30.666666666666668,7.848540145985401,7.0,2.860696517412935,0.6908894578724886,5,19,10.238746771216846,6.8233191522103125,20.500135129887042,0.9119392087877384,0.8918459014967761,0.9888333378156131,0.2502761151000944,0.8333333333333334,3
52,SD-Dem,Demokeya,Savanna,BWh - Arid desert hot,13.2829,30.4783,500.0,47,0.7802196056955093,2.0373541666666664,27.361537239868564,3.6863144729803867,2.0380455185626136,0.11391018619934283,0.2916666666666667,167.2,101.08871851040526,11.25,5.906249999999999,0.38650933365101703,11,61,9.795484661437412,8.560406823823245,11.447039975445465,0.848997397134277,0.9184489864560629,0.12303913826639104,0.07213896856963604,0.9166666666666666,3
53,US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,Grassland,Cfa - Warm temperate fully humid with hot summer,36.4267,-99.42,611.0,142,1.3923613963039014,1.6135384615384614,15.264984257357973,1.8346440661038184,2.612806374674597,0.21149897330595482,0.21328671328671328,28.25,11.232717316906228,20.75,9.660839160839162,0.5757925369186092,33,231,15.809147672274792,13.20112455120792,19.701362140866376,-0.23059091693451395,0.17694273851835585,0.7173022086923135,0.09878033916543247,0.9166666666666666,4
54,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,Grassland,Cfa - Warm temperate fully humid with hot summer,36.6358,-99.5975,646.0,98,1.1277556468172485,1.4775555555555557,15.143876796714578,2.2229672298767853,2.746654963917433,0.25667351129363447,0.26515151515151514,25.5,8.742642026009582,18.5,8.141414141414142,0.652861144580037,21,155,17.811609483011868,15.489546485221839,20.952656088543222,0.03955145208965671,0.21610851098235173,0.2024336536335992,0.07495580971352027,0.84,4
55,US-ARb,ARM Southern Great Plains burn site- Lamont,Grassland,Cfa - Warm temperate fully humid with hot summer,35.5497,-98.0402,424.0,170,1.9469356164383564,2.56812865497076,16.056134246575343,1.7222379997004145,1.7627960569384375,0.2684931506849315,0.28362573099415206,24.5,9.832876712328767,22.0,9.105263157894736,0.6029553785634343,14,93,23.59682330511743,20.514211739613454,27.76969554306301,0.9476261426125748,0.9463556949105802,0.6891559976486825,0.07513356117777063,0.5833333333333334,2
56,US-ARc,ARM Southern Great Plains control site- Lamont,Grassland,Cfa - Warm temperate fully humid with hot summer,35.54649,-98.04,424.0,177,2.089816438356164,2.731741573033708,15.667627397260274,1.7064564754072102,1.7400192139112007,0.27808219178082194,0.27808988764044945,20.5,8.70958904109589,20.5,8.404494382022472,0.6316746143240273,15,108,18.666577967723967,16.0485659194055,22.30524592508811,0.9631495652430764,0.9399546582622175,0.5532219425911855,0.0815652956614907,0.6,2
